gradyear,gender,age,NumberOffriends,basketball,football,soccer,softball,volleyball,swimming,cheerleading,baseball,tennis,sports,cute,sex,sexy,hot,kissed,dance,band,marching,music,rock,god,church,jesus,bible,hair,dress,blonde,mall,shopping,clothes,hollister,abercrombie,die,death,drunk,drugs,cluster,pca1,pca2
2006,F,19.069,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-0.28924456374380264,0.7054120869595513
2006,M,18.825,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2.4971839999450496,0.19692963080500978
2006,F,18.034,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.8783392246461661,0.29121914573835606
2009,F,16.216,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.6869834865035894,-0.08918731022495918
2006,F,18.171,76,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0.3645204597014789,-0.8835469825225399
2006,F,18.478,28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,3,0.9312488188695498,0.5928398932352872
2008,F,16.616,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.48303246709252917,0.2893998134165426
2007,F,18.078,18,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,1.06314507027646,0.3238285704692742
2006,M,18.817,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2.5476138558690304,0.7607594458189325
2007,U,17.76,55,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,-1.1932856637512335,-0.24015990125360856
2007,F,17.032,15,1,1,4,0,0,0,0,1,0,1,0,1,0,0,3,0,0,0,2,0,1,0,0,0,6,0,2,1,0,1,0,0,0,0,0,1,3,0.7293545054041015,-0.1257401060370573
2009,F,16.457,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0.27322805265476185,0.13303538744737967
2008,F,16.164,9,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,4,0,0,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1.0353358090023341,-0.2392468115030523
2008,F,16.137,8,0,0,0,0,0,1,0,1,0,0,0,0,0,4,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0.6515067875559544,-0.3959044417997111
2007,F,17.443,31,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,3,0.4573346946650508,-0.2136584415219989
2007,F,17.881,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.5141194634575295,0.2824929898087701
2009,F,15.222,26,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3,1.4291156719015412,-0.2549503552226399
2008,M,16.476,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2.472393947979737,0.4810070148890906
2009,F,16.129,67,0,3,0,0,0,0,0,0,1,1,0,0,0,6,0,1,0,0,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0.610236587289617,-0.6055383254877499
2009,F,15.847,39,0,0,7,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,3,0.9764150704073503,-1.0357574570109975
2006,M,19.028,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2.8732798381100597,3.323779491923355
2009,M,15.343,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2.14604075276494,-0.5660261333339625
2007,F,18.116,143,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,2,1,1,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,3,1.0276982020763616,-0.24702312412135108
2007,F,17.963,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.47853249785723134,0.3382410359295781
2006,F,18.861,29,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,3,0.9688190887934596,0.42112693785826183
2007,F,17.544,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.05511536670845618,2.6795114292519604
2006,F,18.743,3,1,0,0,0,1,0,0,0,0,0,0,1,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0.5318496662020935,0.24638474810281796
2009,F,15.54,127,0,0,0,0,0,0,2,0,0,0,0,1,2,0,0,0,8,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0.8203586392564837,1.6387516101643522
2006,F,18.472,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0.48048967987816055,0.6859382001077973
2008,F,16.966,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0.9026695302849362,0.558513644604062
2006,F,18.163,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0.788438626143004,0.45833426124026005
2007,F,17.656,21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,3,1.0551932157930883,0.2740337634038783
2009,F,16.345,141,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,1,1,0,0,0,0,1,0,0,3,1.2856258134452228,-0.8579993045075014
2009,F,16.337,32,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0.7804505982050212,0.6703958157940767
2007,F,17.24,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1.040048763054644,0.052072374550919336
2006,F,18.694,29,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.6266644049972478,-0.8624029211609966
2008,F,17.281,23,4,0,0,0,0,0,0,1,0,0,0,0,0,4,0,1,0,0,0,1,0,0,0,0,2,0,2,1,0,0,0,0,3,0,1,0,3,0.6530920361620113,-0.4688189708060872
2008,F,16.523,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.6008199349505613,0.05442870090446442
2008,M,16.29,9,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2.7173323737020425,-0.834108253612313
2007,F,17.29,15,0,1,0,0,0,0,1,0,0,0,0,0,3,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,1.0392636592455413,-0.4484572816083883
2006,F,18.502,242,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0.6115037194862935,-0.3728950873405724
2008,F,16.556,0,0,0,2,0,2,0,0,0,0,0,0,2,2,0,1,2,3,0,3,1,0,0,0,0,2,1,3,0,0,1,0,0,0,0,0,0,3,0.8986880869516831,0.513209039301162
2009,F,16.353,19,3,0,7,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,1,0,1,0,1,0,2,0,0,1,1,1,0,0,0,0,0,1,3,0.5750024020165132,-0.2628918168997396
2008,F,16.408,32,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.9093765791547986,-0.4772964089930754
2006,F,19.053,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,3,0.8869700949400701,0.35850153741929097
2006,F,18.998,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,3,1.2898300026965117,0.5127275286735051
2006,F,18.79,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3,0.9342495326440131,0.6153922578547845
2008,F,17.125,73,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1.4578153891564911,-0.5651914307436047
2007,F,18.119,57,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1.348431707822137,-3.8112363181880498
2006,F,18.68,0,0,0,0,0,0,1,0,0,0,7,0,1,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,-0.3174493617867205,0.03387259676203743
2007,F,18.015,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.5465073478264018,0.24837239227044833
2008,F,16.723,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0.7875271807531116,0.41011221604830095
2006,M,19.28,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,2,3,2,0,1,0,2,1,0,0,1,1,0,0,0,1,0,0,0,0,2,0,1,-2.472538163070518,1.032970918882611
2007,F,17.61,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.5427979108195725,0.2212468246855185
2007,F,17.7,18,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,4,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0,2,0,1,3,3,0.8473557508825801,0.07545587837865989
2009,F,15.882,56,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0.40012118377224654,-0.31831488475689645
2007,F,17.7,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,1,1,0,2,1,1,1,1,5,0,0,0,0,0,0,3,1.1246686768604983,0.14674574894341247
2009,F,16.011,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0.9588751193694443,-0.4511014325376768
2008,M,16.7435,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-3.3370652445972246,-1.92230588246648
2008,F,16.608,54,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0.44738855793221916,-0.4486730315598941
2009,F,16.884,18,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0.3845946084759497,-0.7059965556412165
2009,F,15.77,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.18536413878469146,-0.23547582436400497
2006,M,18.472,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2.6347935385910275,-0.536151016177989
2009,F,15.444,29,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0.9403612798754742,-0.4087732570318121
2007,F,17.325,13,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,3,0,0,0,3,0,0,4,0,2,0,0,1,0,0,0,3,1.0214968271266733,0.12969811407629786
2008,F,16.394,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.6355839992639102,-0.12610666005207483
2007,F,18.062,25,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,3,1.4671586354793995,-1.0817237278319267
2006,F,19.066,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0.7516141878646947,0.8506192636297087
2009,F,15.907,67,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0.8384797596553608,-0.4261583256368783
